Row Labels,Sum of humidity,Sum of meantemp,Sum of wind_speed
7/5/2013,33.25,32.875,7.175
8/5/2013,23,34.5,9.25
9/5/2013,26,34.28571429,8.985714286
10/5/2013,27.71428571,34,9.528571429
11/5/2013,30.375,30.75,14.8125
12/5/2013,40.14285714,29.85714286,5.828571429
13/5/2013,34,31.71428571,3.971428571
14/5/2013,34.28571429,32.28571429,4.771428571
15/5/2013,33,33,3.2375
16/5/2013,34.75,33,7.175
17/5/2013,28.16666667,32.83333333,9.866666667
18/5/2013,42.2,31.4,12.96666667
19/5/2013,22.33333333,35.33333333,15.75
20/5/2013,24.2,36.4,7.4
21/5/2013,19,36,11.37142857
22/5/2013,22.125,36.75,17.5875
23/5/2013,23.33333333,37.5,13.56666667
24/5/2013,27.42857143,38.42857143,11.38571429
25/5/2013,22.42857143,38.71428571,10.31428571
26/5/2013,21.2,37.8,10.74
27/5/2013,31.57142857,35.85714286,8.728571429
28/5/2013,29,35.33333333,8.333333333
29/5/2013,27.85714286,34.14285714,5.557142857
30/5/2013,28.2,32.2,5.56
31/5/2013,40.125,33.625,10.6375
1/6/2013,54,32,13.4375
2/6/2013,56.6,32.4,14.2
3/6/2013,47,35.6,12.24
4/6/2013,42.57142857,35.85714286,5.028571429
5/6/2013,36.5,37.16666667,9.866666667
6/6/2013,61.71428571,31.28571429,10.04285714
7/6/2013,49.25,34,7.4125
8/6/2013,57.4,34.2,13.34
9/6/2013,40,36.16666667,11.41666667
10/6/2013,42.75,36.625,8.1
11/6/2013,61.66666667,30.16666667,16.35
12/6/2013,54.14285714,34.14285714,7.414285714
13/6/2013,68.66666667,29.83333333,9.866666667
14/6/2013,68.14285714,30.14285714,7.942857143
15/6/2013,65,30.71428571,13.22857143
16/6/2013,88.85714286,27,8.485714286
17/6/2013,87.375,26.875,8.3375
18/6/2013,83.6,28.4,5.18
19/6/2013,72.85714286,29.85714286,4.228571429
20/6/2013,52.71428571,33,4.771428571
21/6/2013,47.33333333,34.83333333,5.866666667
22/6/2013,39.4,35.6,10.74
23/6/2013,53,35.16666667,8.35
24/6/2013,55,33.14285714,13.22857143
25/6/2013,70.42857143,30.57142857,11.11428571
26/6/2013,71.5,30.66666667,6.483333333
27/6/2013,61.85714286,31.42857143,7.957142857
28/6/2013,64.25,31.5,8.8125
29/6/2013,57,33.25,13.875
30/6/2013,52.16666667,32.83333333,10.5
1/7/2013,54,33.85714286,8.728571429
2/7/2013,58.28571429,33.14285714,9.8
3/7/2013,70,31.57142857,6.357142857
4/7/2013,67.5,32.375,9.25
5/7/2013,62.2,32.8,12.96
6/7/2013,73.14285714,31,11.37142857
7/7/2013,77.33333333,31.16666667,7.1
8/7/2013,75.16666667,29.83333333,6.483333333
9/7/2013,78.83333333,29,8.016666667
10/7/2013,75.375,29.75,6.4875
11/7/2013,65.5,32.5,7.116666667
12/7/2013,86.625,28.875,5.5625
13/7/2013,70.25,31.75,12.0625
14/7/2013,71.625,30.75,4.8125
15/7/2013,73.25,31.75,13.5375
16/7/2013,83.875,29.875,9
17/7/2013,78.375,31.125,8.65
18/7/2013,76,31.75,5.55
19/7/2013,73.5,30.5,9.266666667
20/7/2013,90.66666667,26.83333333,4.933333333
21/7/2013,88,28.2,2.24
22/7/2013,80.33333333,29.5,4.333333333
23/7/2013,70.71428571,31.85714286,3.971428571
24/7/2013,84.14285714,29.71428571,3.971428571
25/7/2013,84.5,28.33333333,8.016666667
26/7/2013,73.85714286,30,5.571428571
27/7/2013,79,30.14285714,4.228571429
28/7/2013,67.42857143,32.28571429,6.085714286
29/7/2013,77.42857143,31,4.771428571
30/7/2013,75.66666667,30.5,8.016666667
31/7/2013,78.5,28.83333333,9.866666667
1/8/2013,73.5,30,5.55
2/8/2013,66.42857143,31.57142857,11.11428571
3/8/2013,62.33333333,32.5,10.81666667
4/8/2013,62.5,32.5,5.1
5/8/2013,77,29.5,6.783333333
6/8/2013,90.66666667,27.16666667,4.016666667
7/8/2013,85.25,28.375,3.25
8/8/2013,84,28.5,6.166666667
9/8/2013,87.5,27.16666667,3.716666667
10/8/2013,79.85714286,29.42857143,6.1
11/8/2013,76.83333333,30,6.8
12/8/2013,81.5,29.5,8.35
13/8/2013,72,30.75,11.125
14/8/2013,74.33333333,29.66666667,9.866666667
15/8/2013,85,27.71428571,8.2
16/8/2013,92,26.6,4.46
17/8/2013,91,27.42857143,14.28571429
18/8/2013,83.83333333,28.33333333,1.233333333
19/8/2013,84.66666667,28.16666667,5.55
20/8/2013,88.5,27.375,5.325
21/8/2013,81.16666667,28.33333333,10.31428571
22/8/2013,74.83333333,29.16666667,6.483333333
23/8/2013,73.14285714,31.28571429,2.642857143
24/8/2013,71.25,32,18.525
25/8/2013,90.75,29,0.925
26/8/2013,69.875,32,6.475
27/8/2013,57.28571429,32.14285714,17.07142857
28/8/2013,60.71428571,30.14285714,11.64285714
29/8/2013,57,31.5,9.275
30/8/2013,73,29.16666667,3.1
31/8/2013,71.75,29,4.65
1/9/2013,65.2,30,11.48
2/9/2013,50.85714286,31.85714286,15.34285714
3/9/2013,45.5,32.75,14.8
4/9/2013,48,31.71428571,14.54285714
5/9/2013,46,31.66666667,13.56666667
6/9/2013,55.71428571,30.57142857,10.04285714
7/9/2013,51.83333333,30.83333333,6.783333333
8/9/2013,71.75,28,2.325
9/9/2013,57.5,31,42.22
10/9/2013,66.33333333,29.66666667,3.7
11/9/2013,61.14285714,30.85714286,3.971428571
12/9/2013,60.33333333,31.16666667,2.783333333
13/9/2013,67.14285714,31.14285714,3.171428571
14/9/2013,67,30.5,2.783333333
15/9/2013,56.375,31.625,3.9375
16/9/2013,60,29.66666667,7.1
17/9/2013,56.5,29.25,3.475
18/9/2013,58.57142857,29.14285714,5.557142857
19/9/2013,61.6,29.8,2.96
20/9/2013,70,28.66666667,9.583333333
21/9/2013,89,25.2,5.18
22/9/2013,79.66666667,28.33333333,3.083333333
23/9/2013,68,30.28571429,4.5
24/9/2013,65.75,30.75,5.7875
25/9/2013,75,28.57142857,6.614285714
26/9/2013,78.8,28.2,4.08
27/9/2013,71.25,29,7.4125
28/9/2013,67.33333333,30,1.233333333
29/9/2013,79.85714286,28.14285714,5.557142857
30/9/2013,84.57142857,26.85714286,4.228571429
1/10/2013,68.71428571,28.28571429,6.371428571
2/10/2013,61.4,29.2,7.42
3/10/2013,59,28.6,7.4
4/10/2013,84.33333333,24.83333333,6.783333333
5/10/2013,69,28.5,2.0875
6/10/2013,66.5,29.75,1.85
7/10/2013,66.57142857,29.71428571,1.585714286
8/10/2013,69.4,29.2,0
9/10/2013,65.5,30.83333333,5.566666667
10/10/2013,66.28571429,29.42857143,3.971428571
11/10/2013,89.85714286,23.85714286,4.242857143
12/10/2013,82.57142857,26.14285714,2.914285714
13/10/2013,84.33333333,27.16666667,0.616666667
14/10/2013,74.85714286,27.71428571,5.557142857
15/10/2013,76.42857143,25.85714286,3.7
16/10/2013,75,26.42857143,0
17/10/2013,76.71428571,26.85714286,1.057142857
18/10/2013,73.16666667,26.33333333,0
19/10/2013,69.57142857,24.57142857,2.114285714
20/10/2013,67.83333333,24.33333333,1.55
21/10/2013,63.625,24.875,1.3875
22/10/2013,53.6,27.8,0
23/10/2013,67.5,25,1.1625
24/10/2013,73.14285714,23.85714286,1.057142857
25/10/2013,75.8,22.8,1.86
26/10/2013,78.2,23,0.74
27/10/2013,66.875,22.875,2.55
28/10/2013,63.16666667,22.66666667,4.933333333
29/10/2013,62.71428571,23,3.971428571
30/10/2013,67.42857143,22.85714286,2.385714286
31/10/2013,58.83333333,23.66666667,3.083333333
1/11/2013,69.14285714,23.42857143,1.057142857
2/11/2013,65,21.625,4.6375
3/11/2013,57.875,20.625,5.5625
4/11/2013,54.16666667,21.16666667,2.466666667
5/11/2013,74.33333333,18.83333333,0
6/11/2013,66.71428571,20.57142857,3.185714286
7/11/2013,73.14285714,20.14285714,4.5
8/11/2013,82.2,18,19.9125
9/11/2013,73.57142857,19.85714286,0.528571429
10/11/2013,72,16.83333333,2.466666667
11/11/2013,61.85714286,18.85714286,5.814285714
12/11/2013,71.71428571,16.57142857,0.8
13/11/2013,65,17.75,3.0125
14/11/2013,63.375,17.625,3.475
15/11/2013,67,17,0.925
16/11/2013,69.625,16.625,0
17/11/2013,67.42857143,15.57142857,2.385714286
18/11/2013,55.125,18.5,7.4125
19/11/2013,63.5,17.875,7.175
20/11/2013,58.875,18.25,2.55
21/11/2013,66.25,17.875,2.0875
22/11/2013,74.875,17.625,1.1625
23/11/2013,77.85714286,18.14285714,0.8
24/11/2013,58.875,19.125,5.0875
25/11/2013,49.875,21.25,9.5
26/11/2013,51.375,21.25,9.75
27/11/2013,68.5,19.125,2.7875
28/11/2013,71.875,18.625,1.85
29/11/2013,66.625,17.75,4.8625
30/11/2013,69.625,17.875,11.8125
1/12/2013,65,18,1.585714286
2/12/2013,73.25,17.25,1.85
3/12/2013,73.5,17.5,1.3875
4/12/2013,71.85714286,17.14285714,4.228571429
5/12/2013,69,17.14285714,6.885714286
6/12/2013,72.375,16.125,3.7125
7/12/2013,80.5,16,1.1625
8/12/2013,83.625,16.5,0
9/12/2013,79.25,16.125,2.3125
10/12/2013,81.75,15.5,2.55
11/12/2013,71.875,16.625,6.475
12/12/2013,62.375,17.75,16.9
13/12/2013,67.71428571,17.14285714,11.62857143
14/12/2013,79,16.14285714,0.8
15/12/2013,86.25,15.5,2.55
16/12/2013,89.5,15.25,1.1625
17/12/2013,92.875,14.75,0.925
18/12/2013,93,14.875,2.0875
19/12/2013,89.125,16.125,3.25
20/12/2013,91.375,15.375,4.4125
21/12/2013,94,14.75,0.4625
22/12/2013,94,15.25,1.3875
23/12/2013,88.25,14.25,9.025
24/12/2013,84.75,13.5,5.7875
25/12/2013,63.16666667,13.66666667,34.4875
26/12/2013,67.625,12.125,4.4
27/12/2013,79.875,11.875,1.1625
28/12/2013,70,10.875,5.325
29/12/2013,69.42857143,10.57142857,5.325
30/12/2013,79.5,12.375,6.475
31/12/2013,89.375,14.5,4.8625
1/1/2014,89.625,13.375,7.65
2/1/2014,78.375,11,8.1
3/1/2014,74.875,12.5,5.325
4/1/2014,88.125,12.875,1.1625
5/1/2014,89,12.375,0.4625
6/1/2014,86.28571429,11.42857143,27.3375
7/1/2014,72.28571429,12.14285714,20.6
8/1/2014,76.875,11.875,1.85
9/1/2014,83,12.83333333,1.233333333
10/1/2014,85.375,12.375,0
11/1/2014,82.625,12.125,6.725
12/1/2014,80.875,12.875,3.25
13/1/2014,72.375,14,1.1625
14/1/2014,76.75,14.875,2.7875
15/1/2014,93.5,12,0.4625
16/1/2014,90.57142857,12.28571429,1.585714286
17/1/2014,95.75,12,1.1625
18/1/2014,94.25,12.5,1.85
19/1/2014,84.5,14.5,3.475
20/1/2014,83.5,14.625,4.4125
21/1/2014,96.85714286,13.57142857,7.171428571
22/1/2014,96.125,15.25,6.7125
23/1/2014,90.125,15.625,6.7125
24/1/2014,88.875,13.875,8.1125
25/1/2014,95.625,11.75,8.3375
26/1/2014,85.75,14.375,8.8125
27/1/2014,72.375,16.625,9.95
28/1/2014,69.875,16.625,7.4125
29/1/2014,81.875,14.875,4.625
30/1/2014,83.25,14.5,0.925
31/1/2014,82.5,14.75,3.0125
1/2/2014,79.375,14,2.55
2/2/2014,76.125,15.25,1.85
3/2/2014,63.85714286,18.42857143,12.2875
4/2/2014,65.42857143,18.85714286,13.425
5/2/2014,72.75,17,1.625
6/2/2014,65.375,18.5,6.0125
7/2/2014,67.25,19.625,15.05
8/2/2014,85.375,13.625,8.1125
9/2/2014,63.375,12.875,9.2625
10/2/2014,61.75,12.625,3.7
11/2/2014,64.625,13.375,3.7
12/2/2014,67,13.25,9.2625
13/2/2014,64.5,15.25,4.875
14/2/2014,95.5,13,5.3375
15/2/2014,89.5,12.375,3.9375
16/2/2014,79,13.5,8.7875
17/2/2014,66.125,15.125,12.725
18/2/2014,60.125,15.25,8.8
19/2/2014,75.375,15.125,1.85
20/2/2014,78.625,16.125,1.8625
21/2/2014,72.25,17.125,8.7875
22/2/2014,85.625,16.625,6.25
23/2/2014,80,16.5,7.8875
24/2/2014,69.375,16.375,5.3375
25/2/2014,69,18.125,0.925
26/2/2014,71.125,18.75,2.0875
27/2/2014,76.625,18.625,7.175
28/2/2014,88.375,15.625,5.8
1/3/2014,87.28571429,16.14285714,4.242857143
2/3/2014,79,16.125,5.7875
3/3/2014,65.625,17.875,3.7
4/3/2014,66.375,18.75,3.7125
5/3/2014,67,18.875,5.325
6/3/2014,64,18.375,4.6375
7/3/2014,62.875,18.5,6.7125
8/3/2014,63.875,19.875,9.9625
9/3/2014,56.625,22,7.65
10/3/2014,63.875,20,10.8875
11/3/2014,70,20.71428571,15.6
12/3/2014,68.875,20,6.4875
13/3/2014,60.625,19,9.95
14/3/2014,61.25,19.625,5.8
15/3/2014,62.625,21.625,2.7875
16/3/2014,58.5,23.125,6.25
17/3/2014,52.125,26.25,6.7125
18/3/2014,53.42857143,24.85714286,9.8
19/3/2014,57.375,21.75,10.1875
20/3/2014,55,21.5,7.4
21/3/2014,64.75,22.5,5.3375
22/3/2014,59.5,25,3.0125
23/3/2014,61.875,22.75,9.025
24/3/2014,73.125,22.375,9.4875
25/3/2014,60.25,24.625,2.775
26/3/2014,58.875,25.125,2.775
27/3/2014,63.25,23.5,4.8875
28/3/2014,67.57142857,24.42857143,4.5
29/3/2014,55.625,25.875,8.35
30/3/2014,46.75,24.125,13.9
31/3/2014,44.125,24.125,13.2
1/4/2014,45.75,24.875,9.7125
2/4/2014,43.375,26.75,7.175
3/4/2014,48,25,10.425
4/4/2014,47.85714286,25.85714286,11.91428571
5/4/2014,44,27.375,9.2625
6/4/2014,45.25,30.125,6.7125
7/4/2014,47.625,27.25,12.9625
8/4/2014,41.875,25.75,12.725
9/4/2014,35.25,25.75,12.7375
10/4/2014,29.25,26.375,12.5
11/4/2014,29,28.14285714,10.05714286
12/4/2014,39.875,29.125,5.1
13/4/2014,40.375,26.875,15.5125
14/4/2014,46.625,27.625,5.35
15/4/2014,48.125,29,2.55
16/4/2014,53.625,27.125,4.4
17/4/2014,49.625,26.375,9.25
18/4/2014,64.375,24.25,14.3375
19/4/2014,57.875,25.625,5.1
20/4/2014,48,27,4.6375
21/4/2014,33.125,28,8.8125
22/4/2014,29.375,29.375,12.5
23/4/2014,37,29.125,6.025
24/4/2014,35.875,29.375,7.875
25/4/2014,34.375,30.625,8.1125
26/4/2014,32,31.5,8.1125
27/4/2014,30,30.625,8.35
28/4/2014,27.875,31.5,10.1875
29/4/2014,28.875,32.125,8.325
30/4/2014,25.5,33.25,5.3375
1/5/2014,22.5,34.875,9.7375
2/5/2014,24.75,34.375,6.4875
3/5/2014,33.375,31.75,6.475
4/5/2014,34.375,31.875,5.8
5/5/2014,53.25,29.75,9.0375
6/5/2014,51.14285714,29.57142857,6.885714286
7/5/2014,48.625,31.75,1.85
8/5/2014,43,31.375,10.6625
9/5/2014,39.625,30.5,6.4875
10/5/2014,37.625,30,7.8875
11/5/2014,40.375,29.625,7.65
12/5/2014,53.375,28,10.8875
13/5/2014,65.75,25.25,9.9625
14/5/2014,55.25,26.875,8.575
15/5/2014,39.875,29.5,11.125
16/5/2014,40.25,31.125,9.4875
17/5/2014,47.625,29.875,7.175
18/5/2014,35.375,31.5,13.9
19/5/2014,29.5,32.375,11.575
20/5/2014,34,31.125,7.6375
21/5/2014,32.5,33,9.7125
22/5/2014,33.375,33.25,11.1125
23/5/2014,32.75,34.625,19.45
24/5/2014,50.5,31.5,6.725
25/5/2014,43.25,31.5,16.4375
26/5/2014,54.125,30.125,4.175
27/5/2014,49.75,31.875,2.55
28/5/2014,44.5,33.625,3.95
29/5/2014,40.125,35.25,4.4
30/5/2014,44.5,33.125,11.5875
31/5/2014,39,34.625,6.4875
1/6/2014,34.25,32.75,16.2
2/6/2014,41.375,32.75,4.6375
3/6/2014,33.625,34.875,6.4875
4/6/2014,33.125,35.25,7.1875
5/6/2014,26.875,36.875,8.5625
6/6/2014,27.625,37.5,10.2
7/6/2014,22.75,38.5,13.1875
8/6/2014,26.25,37.625,6.725
9/6/2014,32.125,37.875,6.025
10/6/2014,20.875,37.25,12.0375
11/6/2014,23.125,37.625,14.8125
12/6/2014,39.25,32.875,24.325
13/6/2014,55.125,30.25,16.6625
14/6/2014,66.875,30.5,6.4875
15/6/2014,52,33.875,8.1
16/6/2014,41.375,36.375,10.8875
17/6/2014,42.125,36.875,15.9625
18/6/2014,58,33.875,10.425
19/6/2014,47.875,35.75,10.8875
20/6/2014,36.125,38,17.825
21/6/2014,40.125,36.875,9.7375
22/6/2014,46.75,34.5,4.4
23/6/2014,49.75,32.125,6.7125
24/6/2014,46.25,33,10.1875
25/6/2014,53.25,32.25,13.2
26/6/2014,60.375,32.5,3.2375
27/6/2014,48.5,34.75,9.4875
28/6/2014,49,34.875,5.7875
29/6/2014,57.75,33,9.7125
30/6/2014,67.75,32,3.25
1/7/2014,65.125,31.375,6.25
2/7/2014,71.375,29.5,5.7875
3/7/2014,75.125,28.875,5.0875
4/7/2014,69,31.38888889,4.333333333
5/7/2014,52.05882353,34.70588235,9.202941176
6/7/2014,61.125,30.625,3.7125
7/7/2014,48.75,34,5.5625
8/7/2014,39.5,35,9.725
9/7/2014,37.125,36,13.65
10/7/2014,38.75,36.125,11.3375
11/7/2014,38.625,36.625,8.7875
12/7/2014,51.375,35.875,5.3375
13/7/2014,69.75,31.625,6.025
14/7/2014,67.875,32.375,6.725
15/7/2014,62.625,33.125,8.825
16/7/2014,63,32.625,10.45
17/7/2014,74.25,30.75,6.725
18/7/2014,83.875,27.25,2.55
19/7/2014,71,29.875,6.25
20/7/2014,68.875,30.875,6.2625
21/7/2014,65.5,32.125,4.65
22/7/2014,69.75,31.625,7.175
23/7/2014,72.875,30.625,8.1125
24/7/2014,63.625,30.5,12.0375
25/7/2014,63.25,30.75,9.9625
26/7/2014,61.5,32.5,7.175
27/7/2014,65.42857143,31.71428571,6.25
28/7/2014,75.75,30,18.05
29/7/2014,69.875,30.25,5.7875
30/7/2014,65.75,31.875,4.175
31/7/2014,65.75,32.5,7.425
1/8/2014,59.5,33.25,6.5
2/8/2014,77.75,30.125,0.925
3/8/2014,66.25,31.5,5.7875
4/8/2014,69.75,30.5,5.1
5/8/2014,77.5,29.75,1.85
6/8/2014,65,32.125,5.5625
7/8/2014,65.375,31.125,6.95
8/8/2014,67.875,31,6.0125
9/8/2014,80.47058824,29.23529412,6.652941176
10/8/2014,89.90625,28.5,5.225
11/8/2014,72.125,31.125,3.0125
12/8/2014,57.5,32.125,8.3375
13/8/2014,57.71428571,32.125,20.825
14/8/2014,57.5,30.375,18.5125
15/8/2014,54.875,31.125,14.5875
16/8/2014,59.85714286,30.42857143,8.35
17/8/2014,53.875,31.375,7.1875
18/8/2014,56.625,31.875,5.5625
19/8/2014,52.42857143,33,6.885714286
20/8/2014,47.125,33.25,8.7875
21/8/2014,43,32.5,10.8875
22/8/2014,47.125,33,8.5625
23/8/2014,45.75,33.125,9.2625
24/8/2014,46.25,33.125,11.35
25/8/2014,46.625,33.875,7.875
26/8/2014,40.25,34.125,9.9625
27/8/2014,44.71428571,33.85714286,8.1125
28/8/2014,67.75,29.625,6.725
29/8/2014,69.25,30.375,3.7
30/8/2014,78.125,28.625,4.1625
31/8/2014,86.125,27.625,4.4125
1/9/2014,65.85714286,29.42857143,15.5125
2/9/2014,71,29.25,10.425
3/9/2014,77.875,28.625,15.0375
4/9/2014,80.75,27.875,9.275
5/9/2014,85.75,26.5,8.3375
6/9/2014,76.875,28.5,2.0875
7/9/2014,67.625,31,1.4
8/9/2014,66.375,31.25,3.475
9/9/2014,70.125,31,1.85
10/9/2014,77.5,28.75,4.875
11/9/2014,85.71428571,26.57142857,17.825
12/9/2014,73,28.5,1.625
13/9/2014,68.25,29.375,4.1625
14/9/2014,65.5,29.125,6.7125
15/9/2014,63.125,29.625,6.7125
16/9/2014,65.125,30.625,6.25
17/9/2014,61.875,30.625,7.4
18/9/2014,62.375,30.5,6.7125
19/9/2014,56.625,31,4.175
20/9/2014,55.75,31.125,4.4
21/9/2014,54.875,30.5,5.5625
22/9/2014,50,30.625,13.4375
23/9/2014,47,31,30.68571429
24/9/2014,53,29.625,8.1
25/9/2014,52.5,30,9.725
26/9/2014,52.5,30,5.7875
27/9/2014,46.875,30.5,8.8
28/9/2014,48.875,30.25,7.175
29/9/2014,48.75,30.5,7.4125
30/9/2014,50.125,30.625,6.7125
1/10/2014,52.85714286,30.42857143,3.171428571
2/10/2014,53.375,30.375,2.7875
3/10/2014,52.625,30.5,1.85
4/10/2014,53.5,31,0
5/10/2014,56.125,30.625,0
6/10/2014,56.75,30.625,0
7/10/2014,59.375,31,1.1625
8/10/2014,52.75,28.75,3.7125
9/10/2014,49.875,27.625,3.2375
10/10/2014,57.375,27.125,3.2375
11/10/2014,57.14285714,25.71428571,6.9375
12/10/2014,58.625,26,0.4625
13/10/2014,59.75,27.625,8.8
14/10/2014,67.625,24.5,5.325
15/10/2014,68,24.5,3.2625
16/10/2014,58.875,23,4.8625
17/10/2014,47.66666667,25,25.0125
18/10/2014,56.14285714,24,21.3
19/10/2014,57.75,23.75,4.1625
20/10/2014,55.625,24.75,4.4
21/10/2014,56.125,25.625,2.0875
22/10/2014,64.875,25.75,0.4625
23/10/2014,66,25.25,0.925
24/10/2014,67.5,25.5,1.85
25/10/2014,67.125,25.25,0.925
26/10/2014,65.5,25.125,2.0875
27/10/2014,62.875,24.875,1.8625
28/10/2014,64.75,25.125,2.5625
29/10/2014,65.75,24.75,1.625
30/10/2014,61.375,23.875,1.85
31/10/2014,58.25,23.375,3.7125
1/11/2014,50.875,22.5,5.325
2/11/2014,49.125,22.875,7.1875
3/11/2014,52.75,23.375,4.1625
4/11/2014,56.625,23.625,3.9375
5/11/2014,56.25,22.75,4.625
6/11/2014,56.25,23,6.25
7/11/2014,66.125,24,2.3125
8/11/2014,66.25,23.875,1.625
9/11/2014,56.375,24.125,4.1625
10/11/2014,52.125,21.375,3.475
11/11/2014,55.125,19.25,2.325
12/11/2014,52,19.625,2.3125
13/11/2014,50.5,18.5,3.2375
14/11/2014,43,18.375,7.4125
15/11/2014,44.75,18.625,2.775
16/11/2014,47.625,18.25,2.55
17/11/2014,51.75,17.75,2.775
